#   1 NUMBER                 Running object number                                     
#   2 X_IMAGE                Object position along x                                    [pixel]
#   3 Y_IMAGE                Object position along y                                    [pixel]
#   4 XWIN_IMAGE             Windowed position estimate along x                         [pixel]
#   5 YWIN_IMAGE             Windowed position estimate along y                         [pixel]
#   6 FLUX_AUTO              Flux within a Kron-like elliptical aperture                [count]
#   7 MAG_AUTO               Kron-like elliptical aperture magnitude                    [mag]
#   8 FLUX_RADIUS            Fraction-of-light radii                                    [pixel]
#   9 FLAGS                  Extraction flags                                          
         1    339.940     38.258    340.241     38.008     8298.845  -9.7975      5.220   0
         2   1285.619     20.840   1285.629     20.848      6399.79  -9.5154      2.749   0
         3   1764.611     20.473   1764.581     20.438      5311.34  -9.3130      2.735   0
         4    997.776      8.168    997.771      8.143     9261.652  -9.9167      2.745  24
         5    625.131      9.555    624.756      9.391     3439.018  -8.8411      1.416  16
         6   1259.839     48.340   1259.001     47.642     22853.92 -10.8974      4.209   0
         7   1026.543     26.622   1026.592     26.716     705.8268  -7.1217      0.811   0
         8   1687.928     39.409   1687.702     39.540     4495.801  -9.1320      2.189   0
         9    462.574     93.689    462.506     93.705     56162.35 -11.8736      2.753   0
        10   1911.498     47.502   1911.306     47.770     173.5273  -5.5984      2.717  16
        11   1160.028     79.567   1159.986     79.475     979.6006  -7.4776      2.892   0
        12    499.708     89.218    500.078     88.713     5922.212  -9.4312      1.943   0
        13    348.861    152.272    349.150    150.538     8068.452  -9.7670      4.260   3
        14    564.337    211.398    564.260    211.632     13421.21 -10.3195      6.544   2
        15    433.437    195.699    433.400    195.694     165126.6 -13.0445      2.785   0
        16    346.115    171.075    346.300    170.760     7407.092  -9.6741      5.465   3
        17    343.608    189.090    343.594    189.611      3696.53  -8.9195      2.117   3
        18    399.003    188.241    398.964    188.198     1259.792  -7.7507      2.751   0
        19   1810.501    165.995   1810.528    165.958     181.7561  -5.6487      2.233   0
        20    549.660    218.923    550.239    217.919     10224.51 -10.0241      2.482   3
        21    549.075    230.145    548.872    230.685     11158.26 -10.1190      2.674   3
        22   1095.791    205.405   1095.751    205.496     185.2134  -5.6692      2.349  16
        23   1548.314    250.490   1548.283    250.413     5389.324  -9.3288      2.788   0
        24   1409.487    235.376   1409.432    235.339     647.5203  -7.0281      2.457   0
        25   1654.066    243.933   1653.969    243.989     347.7899  -6.3533      3.225   0
        26   1316.662    269.013   1316.604    268.913     5307.351  -9.3122      1.811   0
        27    166.341    295.148    166.314    295.129     19737.12 -10.7382      2.783   0
        28    983.741    305.097    983.673    305.081     20920.07 -10.8014      2.797   0
        29   1090.488    287.950   1090.402    288.073      5017.63  -9.2512      1.329   0
        30    738.883    311.044    738.821    311.134     2486.578  -8.4890      2.767   0
        31   1457.764    364.687   1458.026    364.417        17723 -10.6213      2.065   3
        32   1450.141    359.014   1449.770    358.762     9513.186  -9.9458      1.679   3
        33    438.240    356.827    438.352    356.610     257.2176  -6.0258      2.566   0
        34    751.325    381.880    751.338    381.980     2125.254  -8.3185      2.789   0
        35   1647.840    388.191   1647.796    388.159     3318.423  -8.8023      2.861   0
        36   1552.356    417.733   1552.303    417.684     12678.15 -10.2576      2.775   0
        37   1791.796    404.185   1791.542    404.194     1570.095  -7.9898      8.844   0
        38    546.627    417.222    546.620    415.916     11697.05 -10.1702      2.351   0
        39   1975.180    403.740   1975.141    403.632     709.7527  -7.1278      2.874   0
        40    648.633    392.478    648.712    392.338     329.3719  -6.2942      3.605   0
        41    834.501    418.086    834.375    418.117     751.3799  -7.1896      2.646   0
        42   1483.420    426.598   1483.129    426.502     412.4245  -6.5384      1.159   0
        43    714.151    420.194    714.157    420.425     208.6043  -5.7983      2.333   0
        44   1033.865    422.127   1033.721    422.189     222.2187  -5.8670      2.714  16
